Cliente_Key	Codigo_Cliente	CLIENTE DISCONFORME COSTOS - CAJA AHORRO_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CUENTA CORRIENTE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - PAQUETE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CAJA AHORRO_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CUENTA CORRIENTE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - PAQUETE_Canc_CC_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CAJA AHORRO_Canc_CC_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CUENTA CORRIENTE_Canc_CC_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - PAQUETE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - CUENTA CORRIENTE_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - PAQUETE_Canc_CC_Voluntarios_Sum	INMOVILIZACION - CIERRE CENTRALIZADO_Canc_CC_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CAJA AHORRO_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CUENTA CORRIENTE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - PAQUETE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CAJA AHORRO_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CUENTA CORRIENTE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - PAQUETE_Canc_CA_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CAJA AHORRO_Canc_CA_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CUENTA CORRIENTE_Canc_CA_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - PAQUETE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - CUENTA CORRIENTE_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - PAQUETE_Canc_CA_Voluntarios_Sum	INMOVILIZACION - CIERRE CENTRALIZADO_Canc_CA_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CAJA AHORRO_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - CUENTA CORRIENTE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME COSTOS - PAQUETE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CAJA AHORRO_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - CUENTA CORRIENTE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME SERVICIO - PAQUETE_Canc_Paq_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CAJA AHORRO_Canc_Paq_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - CUENTA CORRIENTE_Canc_Paq_Voluntarios_Sum	CLIENTE NO USO / PRODUCTOS EN OTROS BCOS. - PAQUETE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - CUENTA CORRIENTE_Canc_Paq_Voluntarios_Sum	CLIENTE DISCONFORME CALIFICACION CREDITICIA - PAQUETE_Canc_Paq_Voluntarios_Sum	INMOVILIZACION - CIERRE CENTRALIZADO_Canc_Paq_Voluntarios_Sum
3974370	5885942																																				
3991427	5901262																																				
4003731	5915636																																				
4019432	5932635								1												0												0				
4039326	5951543																																				
4048102	5960119							0												1												0					
4064443	5976336																																				
4075503	5987076																																				
4088126	6000699																																				
4102506	6015310																																				
4121417	6034595								1												0												0				
4136573	6049575																																				
4151375	6064687																																				
4169445	6082616							0												1												0					
4181777	6096067												0												1												0
4194296	6107354																																				
4206464	6119204								1												0												0				
4237156	6151518																																				
4251053	6169750																																				
4262298	6178166																																				
4317708	6249681																																				
4444973	6411796							0												1												0					
4516243	6541817																																				
4525111	6551809								1												0												0				
4541776	6571003																																				
4555987	6585159																																				
4703417	6603158																																				
4715062	6613432							0												1												0					
4730650	6630074							0												1												0					
4743418	6641813																																				
5321798	6664456							0												1												0					
5337958	6677252																																				
5354941	6694476																																				
5368537	6708274																																				
5382486	6719279																																				
5399252	6734819																																				
5403580	6738928																																				
5420881	6751721																																				
5450528	6780350												0												1												0
5465179	6793341							0												1												0					
5481483	6807352																																				
5496070	6820668																																				
5513338	6835409																																				
5527576	6847601																																				
5544126	6864908							0												1												0					
5557485	6874037												0												1												0
5572481	6887642							0												1												0					
5584350	6898675							0												1												0					
5601341	6913933							0												1												0					
5616358	6927714																																				
5635159	6943250																																				
5650505	6957041							0												1												0					
5675650	6981022												0												1												0
5705421	7007791							0												1												0					
5732273	7045604																																				
5775823	7054814																																				
5852004	7099638																																				
5868518	7115597																																				
5888991	7134659																																				
5905616	7144389																																				
5959264	7200082												0												1												0
5974122	7213857							0												1												0					
5992776	7229263																																				
6009873	7244128																																				
6027685	7260090																																				
6048463	7276137																																				
6069998	7296382																																				
6084989	7308438																																				
6105620	7327244																																				
6118198	7338339																																				
6134997	7352926								1												0												0				
6148183	7364917							0												1												0					
6163901	7379194									0												0												2			
6174040	7387586												0												1												0
6195566	7406117																																				
6213051	7423721																																				
6225191	7433349																																				
6240293	7447788																																				
6251957	7457541																																				
6263345	7468503																																				
6277839	7480066																																				
6291405	7493065																																				
6315090	7514440							0												1												0					
6338475	7533125																																				
6355870	7550184																																				
6367878	7561318																																				
6379582	7571040																																				
6396879	7585663																																				
6405581	7594226																																				
6425385	7612788												0												1												0
6433657	7617299								1												0												0				
6445813	7630230																																				
6452526	7642662																																				
6454551	7645587							0												1												0					
6456599	7649786																																				
6458617	7637302																																				
6460586	7650290							0												1												0					
6462336	7642079																																				
6464550	7645051																																				
6466807	7640900																																				
6486909	7662496																																				
6496270	7670293																																				
6502077	7677812																																				
6503875	7675422																																				
6506277	7680294																																				
6508373	7679270																																				
6519325	7690576									0												0												2			
6528692	7699365								1												0												0				
6538320	7707230																																				
6543997	7713035							0												1												0					
6547020	7713702																																				
6559819	7726265									0												0												2			
6575611	7739743																																				
6579358	7743225																																				
6583598	7746712																																				
6601577	7761992																																				
6608384	7768897							0												1												0					
6610810	7769982																																				
6624322	7781712																																				
6635183	7791167							0												1												0					
6647736	7801915							0												1												0					
6661125	7815537																																				
6665961	7820132																																				
6670647	7824201																																				
6687528	7838739																																				
6697313	7848643																																				
6700346	7849578																																				
6708392	7856136																																				
6715284	7861786																																				
6737064	7879437																																				
6743298	7885263																																				
6749028	7890382																																				
6758880	7897948																																				
6774312	7912601																																				
6797111	7933743																																				
6811233	7945190																																				
6827380	7960119																																				
6834761	7966070																																				
6852199	7979904																																				
6864098	7991485												0												1												0
6887716	8012988																																				
6900132	8023737																																				
6913557	8035801																																				
6921746	8043646								1												0												0				
6943352	8061292																																				
6969532	8084704							0												1												0					
6982090	8097153																																				
6991446	8105563																																				
7010158	8122424																																				
7022242	8133280																																				
7023044	8133338																																				
7032281	8142929												0												1												0
7043043	8151884																																				
7073015	8183022																																				
7156842	8255834																																				
