RUBRO_KEY;SUB_RUBRO_AGRUPADO;RUBRO_AGRUPADO;Columna1;Columna2;Columna3;AGRUPADO_NUEVO;AGRUPACION IC
1945;OTROS;OTROS;OTROS;OTROS;1;OTROS;OTROS
1946;OTROS;OTROS;OTROS;OTROS;1;OTROS;OTROS
1947;OTROS;OTROS;OTROS;OTROS;1;OTROS;OTROS
1948;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;1;SUPERMERCADOS;SUPERMERCADOS
1949;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;1;SUPERMERCADOS;SUPERMERCADOS
1950;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;1;SUPERMERCADOS;SUPERMERCADOS
1951;COMESTIBLES;GASTRONOMIA;COMESTIBLES;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
1952;COMESTIBLES;GASTRONOMIA;COMESTIBLES;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
1953;COMESTIBLES;GASTRONOMIA;COMESTIBLES;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
1954;COMESTIBLES;GASTRONOMIA;COMESTIBLES;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
1955;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;1;SUPERMERCADOS;SUPERMERCADOS
1956;COMIDAS PREPARADAS;GASTRONOMIA;COMIDAS PREPARADAS;GASTRONOMIA;1;GASTRONOMIA;GASTRONOMIA
1957;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;SUPERMERCADOS;1;SUPERMERCADOS;SUPERMERCADOS
1958;HIPERMERCADOS;SUPERMERCADOS;HIPERMERCADOS;SUPERMERCADOS;1;SUPERMERCADOS;SUPERMERCADOS
1959;HIPERMERCADOS;SUPERMERCADOS;HIPERMERCADOS;SUPERMERCADOS;1;SUPERMERCADOS;SUPERMERCADOS
1960;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1961;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1962;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1963;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1964;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1965;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1966;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1967;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1968;TELEFONIA;PAGO_DE_SERVICIOS;TELEFONIA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1969;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1970;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1971;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;PAGO PUNTUAL CUPON/PRES.TARJETA;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1972;OTROS;OTROS;OTROS;OTROS;1;OTROS;OTROS
1973;OTROS;OTROS;OTROS;OTROS;1;OTROS;OTROS
1974;OTROS;OTROS;OTROS;OTROS;1;OTROS;OTROS
1975;JUEGOS/JUGUETES/HOBBIES;OTROS;JUEGOS/JUGUETES/HOBBIES;OTROS;1;OTROS;ENTRETENIMIENTO Y RECREACION
1976;JUEGOS/JUGUETES/HOBBIES;OTROS;JUEGOS/JUGUETES/HOBBIES;OTROS;1;OTROS;ENTRETENIMIENTO Y RECREACION
1977;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1978;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1979;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;AUTOMOVIL;AUTOMOVIL
1980;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1981;IMPUESTOS;PAGO_DE_SERVICIOS;IMPUESTOS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1982;IMPUESTOS;PAGO_DE_SERVICIOS;IMPUESTOS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1983;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1984;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1985;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1986;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1987;TELEFONIA;PAGO_DE_SERVICIOS;TELEFONIA;PAGO_DE_SERVICIOS;1;HOGAR;HOGAR
1988;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;AUTOMOVIL;AUTOMOVIL
1989;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;PAGO DE SERVICIOS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1990;OTROS;PAGO_DE_SERVICIOS;OTROS;PAGO_DE_SERVICIOS;1;OTROS;OTROS
1991;D.A. A.C.A. CUOTA SOCIAL;OTROS;D.A. A.C.A. CUOTA SOCIAL;OTROS;1;OTROS;OTROS
1992;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;1;OTROS;EDUCACION
1993;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;1;OTROS;OTROS
1994;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;1;OTROS;OTROS
1995;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;1;SUPERMERCADOS;SUPERMERCADOS
1996;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;TELEMARKETING - SOLICITUD INDIRECTA;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
1997;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;OTROS
1998;SOLICITUD DIRECTA;VENTA_TELEFONICA;SOLICITUD DIRECTA;VENTA_TELEFONICA;1;OTROS;OTROS
